month,tweet_count
2024-02,35
2024-03,154
2024-04,150
2024-05,140
2024-06,126
2024-07,167
2024-08,148
2024-09,163
2024-10,164
2024-11,185
2024-12,131
2025-01,158
2025-02,148
2025-03,190
2025-04,154
2025-05,161
2025-06,171
2025-07,141
2025-08,158
2025-09,178
2025-10,148
2025-11,157
2025-12,97
2026-01,128
