month,tweet_count
2024-02,109
2024-03,619
2024-04,450
2024-05,360
2024-06,383
2024-07,333
2024-08,469
2024-09,400
2024-10,428
2024-11,413
2024-12,400
2025-01,443
2025-02,721
2025-03,522
2025-04,326
2025-05,310
2025-06,180
2025-07,61
2025-08,265
2025-09,173
2025-10,123
2025-11,196
2025-12,206
2026-01,232
