month,tweet_count
2024-02,62
2024-03,286
2024-04,246
2024-05,234
2024-06,364
2024-07,381
2024-08,356
2024-09,380
2024-10,280
2024-11,436
2024-12,220
2025-01,248
2025-02,387
2025-03,362
2025-04,443
2025-05,335
2025-06,287
2025-07,235
2025-08,279
2025-09,298
2025-10,342
2025-11,286
2025-12,272
2026-01,517
